Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org

FAIL test_sound_observation_does_not_replay_effects_or_invent_payments
PASS test_unrecruited_wanderer_does_not_join_shelter_and_farmer_stops_at_home
PASS test_defeat_rewards_once_and_persists
PASS test_vertical_miss_and_restart
PASS test_failed_save_reports_pending_and_can_retry
PASS test_enemy_telegraphs_before_attack
PASS test_confirmed_hit_freezes_combat_time_then_resumes_once
PASS test_blocked_hit_does_not_stop_and_restart_clears_impact
PASS test_round_trip_and_schema_guard
PASS test_invalid_values_preserve_original_save
PASS test_idle_animation_advances_only_with_game_time
PASS test_death_facing_and_restart_are_visible
PASS test_grounded_motion_plays_run_then_returns_to_idle
PASS test_attack_frames_follow_combat_progress_instead_of_render_time
PASS test_airborne_does_not_play_ground_run_cycle
PASS test_attack_respects_authored_anticipation_and_recovery_durations
PASS test_enemy_telegraph_displays_raised_weapon_without_starting_swing
PASS test_dash_has_launch_burst_braking_and_freezes_with_progress
PASS test_default_cleave_shows_all_eight_poses_at_thirty_fps
PASS test_running_phase_continues_through_attack_and_recovery
PASS test_moving_swing_displays_running_legs_without_changing_attack_timing
PASS test_return_cut_starts_from_previous_low_pose_and_rises_while_running
PASS test_authored_combo_uses_independent_forward_frames_and_freezes
PASS test_impact_feedback_freezes_expires_and_resets_with_game_time
PASS test_allocation_conserves_crystals_and_locks_on_departure
PASS test_return_resolves_residents_once_and_keeps_a_stable_report
PASS test_extreme_choices_victory_and_defeat_have_visible_consequences
PASS test_tuning_changes_the_tradeoff_without_changing_combat_code
PASS test_supplies_recruit_only_on_pickup_and_tools_are_not_duplicated
PASS test_paid_construction_needs_engineer_and_cannot_charge_twice
PASS test_only_a_real_unblocked_hit_demotes_a_resident
PASS test_people_walk_to_supplies_tools_and_build_without_direct_orders
PASS test_context_interaction_checks_distance_and_shared_crystal_reserve
PASS test_raiders_must_reach_and_hit_residents_not_just_start_a_wave
PASS test_countdown_reaches_first_wave_and_cannot_duplicate_an_active_wave
PASS test_attacked_worker_can_be_recruited_and_equipped_again
PASS test_guard_defends_and_salvage_requires_pickup_once
PASS test_destroyed_wall_can_be_repaired_without_exceeding_level_cap
PASS test_three_completed_waves_stop_and_escaped_enemies_drop_nothing
PASS test_seed_reproduces_exploration_and_guarantees_reachable_resources
PASS test_harvest_is_finite_and_rewards_only_once
PASS test_crop_requires_worker_and_hunter_collects_discovered_animals
PASS test_tools_assign_new_jobs_and_city_requires_real_progress
PASS test_economy_tuning_changes_crop_output_and_training
PASS test_generated_resources_can_fund_the_complete_kingdom_loop
PASS test_knight_marks_work_and_sword_never_harvests
PASS test_worker_walks_chops_and_hauls_before_bank_receives_resources
PASS test_hit_worker_drops_cargo_and_another_worker_recovers_it
PASS test_raised_salvage_is_reached_by_worker_ladder_before_harvest
PASS test_outpost_needs_cleared_site_payment_and_engineer_then_shortens_delivery
PASS test_work_duration_is_tunable_and_invalid_time_cannot_finish_a_job
PASS test_ground_raider_cannot_hit_a_worker_on_an_elevated_site
PASS test_wanderers_stroll_turn_and_stay_near_their_discovery_place
PASS test_idle_citizen_strolls_but_available_tools_interrupt_immediately
PASS test_approaching_wanderer_stops_for_recruitment_and_invalid_time_does_not_move
PASS test_crystal_pouch_conserves_overflow_and_ground_pickups
PASS test_campfire_investments_persist_and_never_double_charge
PASS test_knight_opens_chest_once_and_full_bag_spills
PASS test_discovered_wanderer_recruits_with_crystal_and_keeps_role_until_hit
PASS test_nights_continue_after_three_and_raise_actual_enemy_stats
PASS test_resident_delivery_leaves_crystals_at_depot_and_banks_stone
PASS test_resources_have_distinct_uses_and_renewable_crystal_trade
PASS test_later_night_damage_reaches_knight_and_wall
PASS test_insufficient_crystals_preserve_partial_project_and_target_independence
PASS test_campaign_raid_receives_three_cuts_and_finisher_pushback
PASS test_jump_pose_responds_to_vertical_motion_and_freezes_when_paused
PASS test_throw_is_conserved_and_cannot_immediately_magnet_back
PASS test_magnet_moves_visible_crystals_before_crediting_and_respects_capacity
PASS test_chest_bursts_before_collecting_and_only_once
PASS test_offerings_recruit_once_and_respect_the_configured_price
PASS test_treasure_is_not_an_offering_and_empty_or_dead_knight_cannot_throw
PASS test_airborne_crystals_land_on_ledges_and_fall_off_their_edges
PASS test_zero_invalid_time_and_boundaries_preserve_ground_rewards
PASS test_invisible_sites_do_not_steal_exploration_targets
PASS test_actionable_target_wins_over_nearer_unavailable_target
PASS test_targeted_payment_never_falls_back_to_another_person
PASS test_holding_fills_one_project_and_stops_at_completion
PASS test_hold_cancels_on_leaving_and_cannot_resume_on_a_neighbor
PASS test_empty_backpack_and_cancel_require_a_fresh_press
PASS test_free_interactions_and_tool_orders_never_repeat_while_held
PASS test_new_nearer_candidate_does_not_steal_a_held_project
PASS test_damaged_wall_does_not_turn_held_upgrade_into_repair
campaign audio cue observer exists: expected true, got false
Assertions: 886; failures: 1
